Starting Queue Size: 1000
Task Time Range: 1 to 100
Time: 1, Queue Size: 990, Servers: 11, Busy Servers: 10, Utilization: 90.9091%, Requests Processed: 0
New request added! Current Queue Size: 954
Time: 63, Queue Size: 952, Servers: 42, Busy Servers: 41, Utilization: 97.619%, Requests Processed: 10
Time: 65, Queue Size: 951, Servers: 43, Busy Servers: 42, Utilization: 97.6744%, Requests Processed: 10
Time: 67, Queue Size: 950, Servers: 44, Busy Servers: 42, Utilization: 95.4545%, Requests Processed: 11
Time: 69, Queue Size: 948, Servers: 45, Busy Servers: 43, Utilization: 95.5556%, Requests Processed: 12
Time: 71, Queue Size: 946, Servers: 46, Busy Servers: 44, Utilization: 95.6522%, Requests Processed: 13
Time: 73, Queue Size: 945, Servers: 47, Busy Servers: 45, Utilization: 95.7447%, Requests Processed: 14
New request added! Current Queue Size: 945
Time: 75, Queue Size: 943, Servers: 48, Busy Servers: 45, Utilization: 93.75%, Requests Processed: 16
Time: 77, Queue Size: 940, Servers: 49, Busy Servers: 48, Utilization: 97.9592%, Requests Processed: 16
Time: 79, Queue Size: 939, Servers: 50, Busy Servers: 45, Utilization: 90%, Requests Processed: 20
Time: 81, Queue Size: 934, Servers: 51, Busy Servers: 48, Utilization: 94.1176%, Requests Processed: 22
Time: 83, Queue Size: 931, Servers: 52, Busy Servers: 51, Utilization: 98.0769%, Requests Processed: 22
Time: 85, Queue Size: 930, Servers: 53, Busy Servers: 52, Utilization: 98.1132%, Requests Processed: 22
Time: 87, Queue Size: 929, Servers: 54, Busy Servers: 53, Utilization: 98.1481%, Requests Processed: 22
Time: 89, Queue Size: 928, Servers: 55, Busy Servers: 52, Utilization: 94.5455%, Requests Processed: 24
Time: 91, Queue Size: 925, Servers: 56, Busy Servers: 55, Utilization: 98.2143%, Requests Processed: 24
Time: 93, Queue Size: 924, Servers: 57, Busy Servers: 56, Utilization: 98.2456%, Requests Processed: 24
New request added! Current Queue Size: 924
Time: 95, Queue Size: 923, Servers: 58, Busy Servers: 57, Utilization: 98.2759%, Requests Processed: 24
Time: 97, Queue Size: 922, Servers: 59, Busy Servers: 57, Utilization: 96.6102%, Requests Processed: 25
Time: 99, Queue Size: 920, Servers: 60, Busy Servers: 58, Utilization: 96.6667%, Requests Processed: 26
Time: 101, Queue Size: 918, Servers: 61, Busy Servers: 59, Utilization: 96.7213%, Requests Processed: 27
Time: 103, Queue Size: 916, Servers: 62, Busy Servers: 61, Utilization: 98.3871%, Requests Processed: 27
Time: 105, Queue Size: 915, Servers: 63, Busy Servers: 61, Utilization: 96.8254%, Requests Processed: 28
Time: 107, Queue Size: 914, Servers: 64, Busy Servers: 63, Utilization: 98.4375%, Requests Processed: 28
Time: 109, Queue Size: 913, Servers: 65, Busy Servers: 62, Utilization: 95.3846%, Requests Processed: 30
Time: 111, Queue Size: 910, Servers: 66, Busy Servers: 63, Utilization: 95.4545%, Requests Processed: 32
Time: 113, Queue Size: 907, Servers: 67, Busy Servers: 66, Utilization: 98.5075%, Requests Processed: 32
Time: 115, Queue Size: 906, Servers: 68, Busy Servers: 67, Utilization: 98.5294%, Requests Processed: 32
Time: 117, Queue Size: 906, Servers: 69, Busy Servers: 66, Utilization: 95.6522%, Requests Processed: 34
Time: 119, Queue Size: 903, Servers: 70, Busy Servers: 68, Utilization: 97.1429%, Requests Processed: 35
Time: 121, Queue Size: 901, Servers: 71, Busy Servers: 69, Utilization: 97.1831%, Requests Processed: 36
Time: 123, Queue Size: 899, Servers: 72, Busy Servers: 69, Utilization: 95.8333%, Requests Processed: 38
Time: 125, Queue Size: 896, Servers: 73, Busy Servers: 72, Utilization: 98.6301%, Requests Processed: 38
New request added! Current Queue Size: 896
Time: 127, Queue Size: 895, Servers: 74, Busy Servers: 72, Utilization: 97.2973%, Requests Processed: 39
New request added! Current Queue Size: 895
Time: 129, Queue Size: 893, Servers: 75, Busy Servers: 72, Utilization: 96%, Requests Processed: 41
Time: 131, Queue Size: 891, Servers: 76, Busy Servers: 74, Utilization: 97.3684%, Requests Processed: 42
Time: 133, Queue Size: 889, Servers: 77, Busy Servers: 76, Utilization: 98.7013%, Requests Processed: 42
Time: 135, Queue Size: 888, Servers: 78, Busy Servers: 77, Utilization: 98.7179%, Requests Processed: 42
Time: 137, Queue Size: 887, Servers: 79, Busy Servers: 76, Utilization: 96.2025%, Requests Processed: 44
Time: 139, Queue Size: 884, Servers: 80, Busy Servers: 76, Utilization: 95%, Requests Processed: 47
Time: 141, Queue Size: 881, Servers: 81, Busy Servers: 80, Utilization: 98.7654%, Requests Processed: 47
Time: 143, Queue Size: 880, Servers: 82, Busy Servers: 80, Utilization: 97.561%, Requests Processed: 48
New request added! Current Queue Size: 880
Time: 145, Queue Size: 878, Servers: 83, Busy Servers: 80, Utilization: 96.3855%, Requests Processed: 50
Time: 147, Queue Size: 875, Servers: 84, Busy Servers: 83, Utilization: 98.8095%, Requests Processed: 50
Time: 149, Queue Size: 874, Servers: 85, Busy Servers: 84, Utilization: 98.8235%, Requests Processed: 50
Time: 151, Queue Size: 873, Servers: 86, Busy Servers: 83, Utilization: 96.5116%, Requests Processed: 52
Time: 153, Queue Size: 870, Servers: 87, Busy Servers: 85, Utilization: 97.7011%, Requests Processed: 53
Time: 155, Queue Size: 868, Servers: 88, Busy Servers: 84, Utilization: 95.4545%, Requests Processed: 56
Time: 157, Queue Size: 864, Servers: 89, Busy Servers: 88, Utilization: 98.8764%, Requests Processed: 56
Time: 159, Queue Size: 864, Servers: 90, Busy Servers: 88, Utilization: 97.7778%, Requests Processed: 57
Time: 161, Queue Size: 862, Servers: 91, Busy Servers: 90, Utilization: 98.9011%, Requests Processed: 57
Time: 163, Queue Size: 861, Servers: 92, Busy Servers: 90, Utilization: 97.8261%, Requests Processed: 58
Time: 165, Queue Size: 859, Servers: 93, Busy Servers: 89, Utilization: 95.6989%, Requests Processed: 61
Time: 167, Queue Size: 855, Servers: 94, Busy Servers: 90, Utilization: 95.7447%, Requests Processed: 64
Time: 169, Queue Size: 852, Servers: 95, Busy Servers: 92, Utilization: 96.8421%, Requests Processed: 66
Time: 171, Queue Size: 849, Servers: 96, Busy Servers: 93, Utilization: 96.875%, Requests Processed: 68
Time: 173, Queue Size: 846, Servers: 97, Busy Servers: 93, Utilization: 95.8763%, Requests Processed: 71
Time: 175, Queue Size: 842, Servers: 98, Busy Servers: 97, Utilization: 98.9796%, Requests Processed: 71
New request added! Current Queue Size: 842
Time: 177, Queue Size: 841, Servers: 99, Busy Servers: 97, Utilization: 97.9798%, Requests Processed: 72
Time: 179, Queue Size: 839, Servers: 100, Busy Servers: 98, Utilization: 98%, Requests Processed: 73
Time: 181, Queue Size: 837, Servers: 101, Busy Servers: 99, Utilization: 98.0198%, Requests Processed: 74
Time: 183, Queue Size: 835, Servers: 102, Busy Servers: 99, Utilization: 97.0588%, Requests Processed: 76
Time: 185, Queue Size: 832, Servers: 103, Busy Servers: 101, Utilization: 98.0583%, Requests Processed: 77
Time: 187, Queue Size: 830, Servers: 104, Busy Servers: 102, Utilization: 98.0769%, Requests Processed: 78
Time: 189, Queue Size: 828, Servers: 105, Busy Servers: 102, Utilization: 97.1429%, Requests Processed: 80
Time: 191, Queue Size: 825, Servers: 106, Busy Servers: 101, Utilization: 95.283%, Requests Processed: 84
Time: 193, Queue Size: 820, Servers: 107, Busy Servers: 105, Utilization: 98.1308%, Requests Processed: 85
Time: 195, Queue Size: 819, Servers: 108, Busy Servers: 106, Utilization: 98.1481%, Requests Processed: 86
Time: 197, Queue Size: 817, Servers: 109, Busy Servers: 107, Utilization: 98.1651%, Requests Processed: 87
Time: 199, Queue Size: 816, Servers: 110, Busy Servers: 108, Utilization: 98.1818%, Requests Processed: 88
Time: 201, Queue Size: 814, Servers: 111, Busy Servers: 107, Utilization: 96.3964%, Requests Processed: 91
Time: 203, Queue Size: 810, Servers: 112, Busy Servers: 109, Utilization: 97.3214%, Requests Processed: 93
Time: 205, Queue Size: 807, Servers: 113, Busy Servers: 110, Utilization: 97.3451%, Requests Processed: 95
Time: 207, Queue Size: 804, Servers: 114, Busy Servers: 111, Utilization: 97.3684%, Requests Processed: 97
Time: 209, Queue Size: 801, Servers: 115, Busy Servers: 113, Utilization: 98.2609%, Requests Processed: 98
Time: 211, Queue Size: 799, Servers: 116, Busy Servers: 114, Utilization: 98.2759%, Requests Processed: 99
Time: 213, Queue Size: 797, Servers: 117, Busy Servers: 116, Utilization: 99.1453%, Requests Processed: 99
Time: 215, Queue Size: 796, Servers: 118, Busy Servers: 117, Utilization: 99.1525%, Requests Processed: 99
Time: 217, Queue Size: 795, Servers: 119, Busy Servers: 115, Utilization: 96.6387%, Requests Processed: 102
Time: 219, Queue Size: 791, Servers: 120, Busy Servers: 117, Utilization: 97.5%, Requests Processed: 104
Time: 221, Queue Size: 788, Servers: 121, Busy Servers: 119, Utilization: 98.3471%, Requests Processed: 105
Time: 223, Queue Size: 786, Servers: 122, Busy Servers: 120, Utilization: 98.3607%, Requests Processed: 106
Time: 225, Queue Size: 784, Servers: 123, Busy Servers: 119, Utilization: 96.748%, Requests Processed: 109
Time: 227, Queue Size: 780, Servers: 124, Busy Servers: 120, Utilization: 96.7742%, Requests Processed: 112
Time: 229, Queue Size: 776, Servers: 125, Busy Servers: 122, Utilization: 97.6%, Requests Processed: 114
Time: 231, Queue Size: 773, Servers: 126, Busy Servers: 123, Utilization: 97.619%, Requests Processed: 116
Time: 233, Queue Size: 770, Servers: 127, Busy Servers: 124, Utilization: 97.6378%, Requests Processed: 118
Time: 235, Queue Size: 768, Servers: 128, Busy Servers: 127, Utilization: 99.2188%, Requests Processed: 118
Time: 237, Queue Size: 767, Servers: 129, Busy Servers: 127, Utilization: 98.4496%, Requests Processed: 119
Time: 239, Queue Size: 765, Servers: 130, Busy Servers: 127, Utilization: 97.6923%, Requests Processed: 121
New request added! Current Queue Size: 765
Time: 241, Queue Size: 762, Servers: 131, Busy Servers: 128, Utilization: 97.7099%, Requests Processed: 123
Time: 243, Queue Size: 759, Servers: 132, Busy Servers: 129, Utilization: 97.7273%, Requests Processed: 125
Time: 245, Queue Size: 756, Servers: 133, Busy Servers: 128, Utilization: 96.2406%, Requests Processed: 129
Time: 247, Queue Size: 751, Servers: 134, Busy Servers: 131, Utilization: 97.7612%, Requests Processed: 131
Time: 249, Queue Size: 749, Servers: 135, Busy Servers: 131, Utilization: 97.037%, Requests Processed: 134
Time: 251, Queue Size: 745, Servers: 136, Busy Servers: 133, Utilization: 97.7941%, Requests Processed: 136
Time: 253, Queue Size: 742, Servers: 137, Busy Servers: 133, Utilization: 97.0803%, Requests Processed: 139
Time: 255, Queue Size: 738, Servers: 138, Busy Servers: 134, Utilization: 97.1014%, Requests Processed: 142
New request added! Current Queue Size: 738
Time: 257, Queue Size: 734, Servers: 139, Busy Servers: 138, Utilization: 99.2806%, Requests Processed: 142
New request added! Current Queue Size: 734
Time: 259, Queue Size: 733, Servers: 140, Busy Servers: 138, Utilization: 98.5714%, Requests Processed: 143
Time: 261, Queue Size: 731, Servers: 141, Busy Servers: 138, Utilization: 97.8723%, Requests Processed: 145
Time: 263, Queue Size: 728, Servers: 142, Busy Servers: 140, Utilization: 98.5915%, Requests Processed: 146
Time: 265, Queue Size: 726, Servers: 143, Busy Servers: 141, Utilization: 98.6014%, Requests Processed: 147
Time: 267, Queue Size: 724, Servers: 144, Busy Servers: 139, Utilization: 96.5278%, Requests Processed: 151
Time: 269, Queue Size: 719, Servers: 145, Busy Servers: 140, Utilization: 96.5517%, Requests Processed: 155
Time: 271, Queue Size: 714, Servers: 146, Busy Servers: 138, Utilization: 94.5205%, Requests Processed: 162
New request added! Current Queue Size: 714
Time: 273, Queue Size: 706, Servers: 147, Busy Servers: 144, Utilization: 97.9592%, Requests Processed: 164
Time: 275, Queue Size: 703, Servers: 148, Busy Servers: 144, Utilization: 97.2973%, Requests Processed: 167
Time: 277, Queue Size: 699, Servers: 149, Busy Servers: 146, Utilization: 97.9866%, Requests Processed: 169
Time: 279, Queue Size: 696, Servers: 150, Busy Servers: 144, Utilization: 96%, Requests Processed: 174
Time: 281, Queue Size: 690, Servers: 151, Busy Servers: 146, Utilization: 96.6887%, Requests Processed: 178
Time: 283, Queue Size: 685, Servers: 152, Busy Servers: 147, Utilization: 96.7105%, Requests Processed: 182
Time: 285, Queue Size: 680, Servers: 153, Busy Servers: 151, Utilization: 98.6928%, Requests Processed: 183
New request added! Current Queue Size: 680
Time: 287, Queue Size: 678, Servers: 154, Busy Servers: 151, Utilization: 98.0519%, Requests Processed: 185
Time: 289, Queue Size: 675, Servers: 155, Busy Servers: 154, Utilization: 99.3548%, Requests Processed: 185
Time: 291, Queue Size: 674, Servers: 156, Busy Servers: 153, Utilization: 98.0769%, Requests Processed: 187
Time: 293, Queue Size: 671, Servers: 157, Busy Servers: 154, Utilization: 98.0892%, Requests Processed: 189
Time: 295, Queue Size: 668, Servers: 158, Busy Servers: 155, Utilization: 98.1013%, Requests Processed: 191
Time: 297, Queue Size: 665, Servers: 159, Busy Servers: 155, Utilization: 97.4843%, Requests Processed: 194
Time: 299, Queue Size: 661, Servers: 160, Busy Servers: 158, Utilization: 98.75%, Requests Processed: 195
Time: 301, Queue Size: 659, Servers: 161, Busy Servers: 159, Utilization: 98.7578%, Requests Processed: 196
Time: 303, Queue Size: 657, Servers: 162, Busy Servers: 155, Utilization: 95.679%, Requests Processed: 202
Time: 305, Queue Size: 650, Servers: 163, Busy Servers: 161, Utilization: 98.773%, Requests Processed: 203
Time: 307, Queue Size: 648, Servers: 164, Busy Servers: 160, Utilization: 97.561%, Requests Processed: 206
Time: 309, Queue Size: 644, Servers: 165, Busy Servers: 161, Utilization: 97.5758%, Requests Processed: 209
Time: 311, Queue Size: 640, Servers: 166, Busy Servers: 163, Utilization: 98.1928%, Requests Processed: 211
Time: 313, Queue Size: 637, Servers: 167, Busy Servers: 160, Utilization: 95.8084%, Requests Processed: 217
Time: 315, Queue Size: 630, Servers: 168, Busy Servers: 164, Utilization: 97.619%, Requests Processed: 220
Time: 317, Queue Size: 626, Servers: 169, Busy Servers: 165, Utilization: 97.6331%, Requests Processed: 223
Time: 319, Queue Size: 622, Servers: 170, Busy Servers: 166, Utilization: 97.6471%, Requests Processed: 226
Time: 321, Queue Size: 618, Servers: 171, Busy Servers: 169, Utilization: 98.8304%, Requests Processed: 227
Time: 323, Queue Size: 617, Servers: 172, Busy Servers: 167, Utilization: 97.093%, Requests Processed: 231
Time: 325, Queue Size: 612, Servers: 173, Busy Servers: 169, Utilization: 97.6879%, Requests Processed: 234
Time: 327, Queue Size: 608, Servers: 174, Busy Servers: 167, Utilization: 95.977%, Requests Processed: 240
Time: 329, Queue Size: 601, Servers: 175, Busy Servers: 172, Utilization: 98.2857%, Requests Processed: 242
Time: 331, Queue Size: 598, Servers: 176, Busy Servers: 173, Utilization: 98.2955%, Requests Processed: 244
Time: 333, Queue Size: 595, Servers: 177, Busy Servers: 173, Utilization: 97.7401%, Requests Processed: 247
Time: 335, Queue Size: 592, Servers: 178, Busy Servers: 172, Utilization: 96.6292%, Requests Processed: 252
Time: 337, Queue Size: 586, Servers: 179, Busy Servers: 173, Utilization: 96.648%, Requests Processed: 257
Time: 339, Queue Size: 580, Servers: 180, Busy Servers: 177, Utilization: 98.3333%, Requests Processed: 259
Time: 341, Queue Size: 577, Servers: 181, Busy Servers: 177, Utilization: 97.7901%, Requests Processed: 262
New request added! Current Queue Size: 577
Time: 343, Queue Size: 574, Servers: 182, Busy Servers: 179, Utilization: 98.3516%, Requests Processed: 264
Time: 345, Queue Size: 571, Servers: 183, Busy Servers: 180, Utilization: 98.3607%, Requests Processed: 266
Time: 347, Queue Size: 568, Servers: 184, Busy Servers: 179, Utilization: 97.2826%, Requests Processed: 270
New request added! Current Queue Size: 568
Time: 349, Queue Size: 563, Servers: 185, Busy Servers: 181, Utilization: 97.8378%, Requests Processed: 273
Time: 351, Queue Size: 559, Servers: 186, Busy Servers: 180, Utilization: 96.7742%, Requests Processed: 278
Time: 353, Queue Size: 553, Servers: 187, Busy Servers: 184, Utilization: 98.3957%, Requests Processed: 280
Time: 355, Queue Size: 550, Servers: 188, Busy Servers: 182, Utilization: 96.8085%, Requests Processed: 285
Time: 357, Queue Size: 544, Servers: 189, Busy Servers: 185, Utilization: 97.8836%, Requests Processed: 288
Time: 359, Queue Size: 540, Servers: 190, Busy Servers: 189, Utilization: 99.4737%, Requests Processed: 288
Time: 361, Queue Size: 539, Servers: 191, Busy Servers: 185, Utilization: 96.8586%, Requests Processed: 293
Time: 363, Queue Size: 533, Servers: 192, Busy Servers: 185, Utilization: 96.3542%, Requests Processed: 299
Time: 365, Queue Size: 526, Servers: 193, Busy Servers: 191, Utilization: 98.9637%, Requests Processed: 300
Time: 367, Queue Size: 524, Servers: 194, Busy Servers: 188, Utilization: 96.9072%, Requests Processed: 305
Time: 369, Queue Size: 518, Servers: 195, Busy Servers: 192, Utilization: 98.4615%, Requests Processed: 307
Time: 371, Queue Size: 515, Servers: 196, Busy Servers: 190, Utilization: 96.9388%, Requests Processed: 312
Time: 373, Queue Size: 509, Servers: 197, Busy Servers: 189, Utilization: 95.9391%, Requests Processed: 319
Time: 375, Queue Size: 501, Servers: 198, Busy Servers: 194, Utilization: 97.9798%, Requests Processed: 322
New request added! Current Queue Size: 501
Time: 377, Queue Size: 497, Servers: 199, Busy Servers: 195, Utilization: 97.9899%, Requests Processed: 325
Time: 379, Queue Size: 493, Servers: 200, Busy Servers: 197, Utilization: 98.5%, Requests Processed: 327
Time: 381, Queue Size: 490, Servers: 201, Busy Servers: 198, Utilization: 98.5075%, Requests Processed: 329
Time: 383, Queue Size: 487, Servers: 202, Busy Servers: 198, Utilization: 98.0198%, Requests Processed: 332
Time: 385, Queue Size: 483, Servers: 203, Busy Servers: 198, Utilization: 97.5369%, Requests Processed: 336
Time: 387, Queue Size: 478, Servers: 204, Busy Servers: 198, Utilization: 97.0588%, Requests Processed: 341
Time: 389, Queue Size: 472, Servers: 205, Busy Servers: 202, Utilization: 98.5366%, Requests Processed: 343
Time: 391, Queue Size: 470, Servers: 206, Busy Servers: 201, Utilization: 97.5728%, Requests Processed: 347
Time: 393, Queue Size: 465, Servers: 207, Busy Servers: 205, Utilization: 99.0338%, Requests Processed: 348
Time: 395, Queue Size: 463, Servers: 208, Busy Servers: 199, Utilization: 95.6731%, Requests Processed: 356
Time: 397, Queue Size: 454, Servers: 209, Busy Servers: 202, Utilization: 96.6507%, Requests Processed: 362
Time: 399, Queue Size: 447, Servers: 210, Busy Servers: 207, Utilization: 98.5714%, Requests Processed: 364
Time: 401, Queue Size: 444, Servers: 211, Busy Servers: 209, Utilization: 99.0521%, Requests Processed: 365
Time: 403, Queue Size: 442, Servers: 212, Busy Servers: 208, Utilization: 98.1132%, Requests Processed: 368
New request added! Current Queue Size: 442
Time: 405, Queue Size: 438, Servers: 213, Busy Servers: 206, Utilization: 96.7136%, Requests Processed: 374
Time: 407, Queue Size: 431, Servers: 214, Busy Servers: 207, Utilization: 96.729%, Requests Processed: 380
Time: 409, Queue Size: 424, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 385
Time: 411, Queue Size: 419, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 389
Time: 413, Queue Size: 415, Servers: 214, Busy Servers: 213, Utilization: 99.5327%, Requests Processed: 390
Time: 415, Queue Size: 414, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 396
Time: 417, Queue Size: 408, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 400
Time: 419, Queue Size: 404, Servers: 214, Busy Servers: 205, Utilization: 95.7944%, Requests Processed: 409
Time: 421, Queue Size: 395, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 412
Time: 423, Queue Size: 392, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 417
Time: 425, Queue Size: 387, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 422
Time: 427, Queue Size: 383, Servers: 214, Busy Servers: 207, Utilization: 96.729%, Requests Processed: 429
Time: 429, Queue Size: 376, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 435
Time: 431, Queue Size: 370, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 440
Time: 433, Queue Size: 365, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 444
Time: 435, Queue Size: 361, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 449
Time: 437, Queue Size: 356, Servers: 214, Busy Servers: 206, Utilization: 96.2617%, Requests Processed: 457
Time: 439, Queue Size: 348, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 459
Time: 441, Queue Size: 346, Servers: 214, Busy Servers: 207, Utilization: 96.729%, Requests Processed: 466
Time: 443, Queue Size: 340, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 471
Time: 445, Queue Size: 335, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 473
Time: 447, Queue Size: 333, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 476
Time: 449, Queue Size: 330, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 482
Time: 451, Queue Size: 324, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 486
Time: 453, Queue Size: 320, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 489
Time: 455, Queue Size: 318, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 491
Time: 457, Queue Size: 316, Servers: 214, Busy Servers: 213, Utilization: 99.5327%, Requests Processed: 492
New request added! Current Queue Size: 316
Time: 459, Queue Size: 315, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 495
Time: 461, Queue Size: 312, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 497
Time: 463, Queue Size: 310, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 500
New request added! Current Queue Size: 310
Time: 465, Queue Size: 308, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 506
Time: 467, Queue Size: 302, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 508
Time: 469, Queue Size: 300, Servers: 214, Busy Servers: 212, Utilization: 99.0654%, Requests Processed: 510
Time: 471, Queue Size: 298, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 513
Time: 473, Queue Size: 295, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 517
Time: 475, Queue Size: 291, Servers: 214, Busy Servers: 213, Utilization: 99.5327%, Requests Processed: 518
Time: 477, Queue Size: 290, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 521
Time: 479, Queue Size: 287, Servers: 214, Busy Servers: 207, Utilization: 96.729%, Requests Processed: 528
Time: 481, Queue Size: 280, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 532
Time: 483, Queue Size: 276, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 536
Time: 485, Queue Size: 272, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 541
Time: 487, Queue Size: 267, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 547
Time: 489, Queue Size: 261, Servers: 214, Busy Servers: 210, Utilization: 98.1308%, Requests Processed: 551
Time: 491, Queue Size: 257, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 557
Time: 493, Queue Size: 251, Servers: 214, Busy Servers: 211, Utilization: 98.5981%, Requests Processed: 560
Time: 495, Queue Size: 248, Servers: 214, Busy Servers: 206, Utilization: 96.2617%, Requests Processed: 568
Time: 497, Queue Size: 240, Servers: 214, Busy Servers: 208, Utilization: 97.1963%, Requests Processed: 574
Time: 499, Queue Size: 234, Servers: 214, Busy Servers: 205, Utilization: 95.7944%, Requests Processed: 583
New request added! Current Queue Size: 234
Time: 501, Queue Size: 225, Servers: 214, Busy Servers: 209, Utilization: 97.6636%, Requests Processed: 588
